dataType,dataName,devicetypes,elementTypes,section,page,order,attachTo,type,title,question,notes,units,required,hidden,protected,dontsend,requiresConfirmation,ignoreDefault,minutes,photo,commentTitle,ifExpr,defaultExpr,passfailExpr,failtext,options,columns,legacyId
survey,insulationCondition,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,100,,passfail,Insulation Condition,Is pipework and vessel insulation complete and reinstated after past works?,HNTAS key failure: insulation left off after maintenance.,,true,false,false,false,true,false,2,Insulation issues,,,,,,,,
survey,thermalImage,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,110,,text,Thermal Image,Take a thermal image of the element where a camera is available.,,,false,false,false,false,true,false,2,Thermal image,,,,,,,,
survey,omDocsAvailable,node,"ec,ss,cc",Documentation,,120,,passfail,O&M Documentation,Are O&M manuals available for this element?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,dooAvailable,node,"ec,ss,cc",Documentation,,130,,passfail,Description of Operation,Is a Description of Operation (DoO) available for the control system?,HNTAS: adjustments must accord with the DoO.,,false,false,false,false,true,false,1,,,,,,,,,
survey,ppmInPlace,node,"ec,ss,cc",Documentation,,140,,passfail,Planned Maintenance,Is planned preventative maintenance (PPM) in place with records available?,HNTAS key failure: PPM not in place or not at sufficient frequency.,,true,false,false,false,true,false,1,,,,,,,,,
survey,maintenanceRecordsPhoto,node,"ec,ss,cc",Documentation,,150,,text,Maintenance Records Photo,Photograph the most recent maintenance / service record.,,,false,false,false,false,true,false,1,Maintenance record,,'{{ppmInPlace}}'=='OK',,,,,,
survey,nProperties,node,ec,Design Inputs (Network),,200,,integer,Number of Properties,How many properties are served by the network?,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,nBuildings,node,ec,Design Inputs (Network),,210,,integer,Number of Buildings,How many buildings are on the network?,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,nIntakes,node,ec,Design Inputs (Network),,220,,integer,Number of Intake Plantrooms,How many intake plantrooms / substations serve the network?,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,tPeak,node,ec,Design Inputs (Network),,230,,number,Peak Flow Temperature,Network peak flow temperature (design or observed operating setpoint).,Promotes to the design process.,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,tPriRtnDHW,node,ec,Design Inputs (Network),,240,,number,DHW Return Temperature,Primary return temperature during DHW production.,Promotes to the design process.,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,tPriRtnCH,node,ec,Design Inputs (Network),,250,,number,CH Return Temperature,Primary return temperature during central heating.,Promotes to the design process.,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,hHighPoint,node,ec,Design Inputs (Network),,260,,number,System Height,Height from plant room to the highest point served.,Promotes to the design process.,m,false,false,false,false,true,false,1,,,,,,,,,
survey,tXPeak,node,ec,Design Inputs (Network),,270,,number,External Design Temperature,External temperature assumed at peak load.,Promotes to the design process.,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,vBuffer,node,ec,Design Inputs (Network),,280,,number,Buffer Volume,Total installed buffer / thermal store volume.,Promotes to the design process.,l,false,false,false,false,true,false,1,,,,,,,,,
survey,boilerFuel,node,ec,Design Inputs (Network),,290,,text,Boiler Fuel,Primary boiler fuel (as design options e.g. gas / biomass / electric / oil).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,substationType,node,ec,Design Inputs (Network),,300,,text,Substation Type,Substation type where externally supplied (as design options).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,typeEmitter,node,cc,Design Inputs (Network),,310,,text,Heating Emitters,Dominant central heating emitter type observed (radiators / underfloor / fan coils).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,connectionCH,node,cc,Design Inputs (Network),,320,,text,CH Connection,Central heating connection arrangement (direct / indirect).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,supplyCWS,node,cc,Design Inputs (Network),,330,,text,Cold Water Supply,Cold water service arrangement (mains / boosted / tank).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,typeTRV,node,cc,Design Inputs (Network),,340,,text,Radiator Flow Control,Radiator flow control observed (TRV type).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,typeRTL,node,cc,Design Inputs (Network),,350,,text,Radiator Return Control,Radiator return control observed (RTL type).,Promotes to the design process.,,false,false,false,false,true,false,1,,,,,,,,,
survey,ecRoomCondition,node,ec,EC — Plant Room,,400,,passfail,Plant Room Condition,Overall condition of the energy centre / plant room.,,,false,false,false,false,true,false,2,Plant room,,,,,,,,
survey,ecVentilation,node,ec,EC — Plant Room,,410,,passfail,Ventilation,Is plant room ventilation adequate and unobstructed?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,ecFloorDrainage,node,ec,EC — Plant Room,,420,,passfail,Drainage,Are floor drains / tundishes present and clear?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,ecHeatSources,node,ec,EC — Plant Room,,430,,textarea,Heat Source Inventory,List the heat sources present (type and count e.g. 3x gas boiler + 2x ASHP).,,,true,false,false,false,true,false,2,,,,,,,,,
survey,ecResilience,node,ec,EC — Plant Room,,440,,passfail,Resilience,Can the network meet demand with the largest single heat source unavailable (n-1)?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,ecFuelInputMeters,node,ec,EC — Plant Room,,450,,passfail,Fuel Input Metering (EC1),Is each heat-source fuel input separately metered (gas / electricity per source type)?,HNTAS EC1: sub-metering required where sources share a fuel.,,true,false,false,false,true,false,2,Fuel meters,,,,,,,,
survey,ecBoundaryMeter,node,ec,EC — Plant Room,,460,,passfail,Boundary Heat Meter (EC3),Is a heat meter installed at the energy centre boundary measuring total heat export?,HNTAS EC3 monitoring point.,,true,false,false,false,true,false,2,Boundary meter,,,,,,,,
survey,ecPumpElecMeter,node,ec,EC — Plant Room,,470,,passfail,Pump Electricity Meter (EC4),Is network distribution pump electricity separately metered?,HNTAS EC4; KPI threshold: pump energy ≤ 1.2% of annual heat generation.,,false,false,false,false,true,false,1,,,,,,,,,
survey,ecTopUpMeter,node,ec,EC — Plant Room,,480,,passfail,Top-up Water Meter,Is a water meter installed on the network top-up / fill line?,HNTAS key failure: no water meters on top-up.,,true,false,false,false,true,false,1,Top-up meter,,,,,,,,
survey,ecTopUpReading,node,ec,EC — Plant Room,,490,,number,Top-up Meter Reading,Record the top-up water meter reading.,,m3,false,false,false,false,true,false,1,Top-up reading,,'{{ecTopUpMeter}}'=='OK',,,,,,
survey,gbMakeModel,gas_boiler,"ec,ec-hg",Gas Boiler,,600,,text,Make and Model,Record the boiler make and model.,,,true,false,false,false,true,false,2,Boiler data badge,,,,,,,,
survey,gbBadgePhoto,gas_boiler,"ec,ec-hg",Gas Boiler,,610,,text,Data Badge Photo,Take a clear photo of the boiler data badge.,,,true,false,false,false,true,false,1,Boiler data badge,,,,,,,,
survey,gbOutput,gas_boiler,"ec,ec-hg",Gas Boiler,,620,,number,Rated Output,Boiler rated heat output.,,kW,true,false,false,false,true,false,1,,,,,,,,,
survey,gbYear,gas_boiler,"ec,ec-hg",Gas Boiler,,630,,integer,Year of Manufacture,Year of manufacture (from badge or records).,,,false,false,false,false,true,false,1,,,,,,,,,
survey,gbFlueType,gas_boiler,"ec,ec-hg",Gas Boiler,,640,,text,Flue Arrangement,Flue type and routing (open / room-sealed / fan-flued; note condition).,,,false,false,false,false,true,false,1,,,,,,,,,
survey,gbCondition,gas_boiler,"ec,ec-hg",Gas Boiler,,650,,passfail,Condition,Overall condition of this boiler.,,,true,false,false,false,true,false,1,,,,,,,,,
survey,gbServiceRecord,gas_boiler,"ec,ec-hg",Gas Boiler,,660,,passfail,Service Record,Is there a service record within the last 12 months?,,,true,false,false,false,true,false,1,Service record,,,,,,,,
survey,gbGrossEfficiency,gas_boiler,"ec,ec-hg",Gas Boiler,,670,,number,Gross Efficiency,Stated gross efficiency (badge or literature).,HNTAS threshold ≥ 80% gross for gas/oil boilers.,%,false,false,false,false,true,false,1,,,,,{{gbGrossEfficiency}}>=80,Below the HNTAS 80% gross efficiency threshold for gas/oil boilers.,,,
survey,gbControls,gas_boiler,"ec,ec-hg",Gas Boiler,,680,,text,Boiler Controls,How is the boiler sequenced / controlled (cascade controller / BMS / standalone)?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,gbIsolation,gas_boiler,"ec,ec-hg",Gas Boiler,,690,,passfail,Isolation Valves,Are isolation valves present and operable for this boiler?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,gbLeaks,gas_boiler,"ec,ec-hg",Gas Boiler,,700,,passfail,Leaks,Any leaks on the boiler or its immediate pipework?,Record OK when no leaks.,,true,false,false,false,true,false,1,,,,,,,,,
survey,gbFlowTemp,gas_boiler,"ec,ec-hg",Gas Boiler,,710,,number,Operating Flow Temperature,Boiler flow temperature while operating.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,gbReturnTemp,gas_boiler,"ec,ec-hg",Gas Boiler,,720,,number,Operating Return Temperature,Boiler return temperature while operating.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,hpMakeModel,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,800,,text,Make and Model,Record the heat pump make and model.,,,true,false,false,false,true,false,2,Heat pump data badge,,,,,,,,
survey,hpBadgePhoto,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,810,,text,Data Badge Photo,Take a clear photo of the heat pump data badge.,,,true,false,false,false,true,false,1,Heat pump data badge,,,,,,,,
survey,hpType,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,820,,text,Heat Pump Type,Type of heat pump (ASHP / WSHP / GSHP / exhaust).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,hpRefrigerant,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,830,,text,Refrigerant,Refrigerant type (from badge e.g. R290 / R32 / R410A).,,,false,false,false,false,true,false,1,,,,,,,,,
survey,hpOutput,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,840,,number,Rated Output,Rated heat output at design conditions.,,kW,true,false,false,false,true,false,1,,,,,,,,,
survey,hpCOP,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,850,,number,Stated COP,Stated coefficient of performance at design conditions.,HNTAS threshold: COP ≥ 2.0.,,false,false,false,false,true,false,1,,,,,{{hpCOP}}>=2,Below the HNTAS COP threshold of 2.0.,,,
survey,hpElecMeter,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,860,,passfail,Electricity Metering,Is heat pump electricity input separately metered?,HNTAS EC1: separate metering per source type.,,true,false,false,false,true,false,1,,,,,,,,,
survey,hpCondition,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,870,,passfail,Condition,Overall condition (coils / casing / mounts / defrost provision).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,hpNoise,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,880,,passfail,Noise / Vibration,Any abnormal noise or vibration in operation?,Record OK when normal.,,false,false,false,false,true,false,1,,,,,,,,,
survey,hpServiceRecord,heat_pump,"ec,ec-hg,ec-hs",Heat Pump,,890,,passfail,Service Record,Is there an F-Gas / service record within the last 12 months?,,,false,false,false,false,true,false,1,Service record,,,,,,,,
survey,chpMakeModel,chp,"ec,ec-hg",CHP,,900,,text,Make and Model,Record the CHP make and model.,,,true,false,false,false,true,false,2,CHP data badge,,,,,,,,
survey,chpElecOutput,chp,"ec,ec-hg",CHP,,910,,number,Electrical Output,Rated electrical output.,,kWe,true,false,false,false,true,false,1,,,,,,,,,
survey,chpThermalOutput,chp,"ec,ec-hg",CHP,,920,,number,Thermal Output,Rated thermal output.,,kW,true,false,false,false,true,false,1,,,,,,,,,
survey,chpHoursRun,chp,"ec,ec-hg",CHP,,930,,number,Hours Run,Hours run (from controller).,,h,false,false,false,false,true,false,1,Hours run display,,,,,,,,
survey,chpQI,chp,"ec,ec-hg",CHP,,940,,number,Quality Index,CHPQA Quality Index where known.,HNTAS threshold: QI ≥ 105.,,false,false,false,false,true,false,1,,,,,{{chpQI}}>=105,Below the CHPQA Quality Index threshold of 105.,,,
survey,chpCondition,chp,"ec,ec-hg",CHP,,950,,passfail,Condition,Overall condition of the CHP.,,,true,false,false,false,true,false,1,,,,,,,,,
survey,pumpMakeModel,pump,"ec,ec-d,ss",Distribution Pumps,,1000,,text,Make and Model,Record the pump make and model.,,,true,false,false,false,true,false,2,Pump data badge,,,,,,,,
survey,pumpDuty,pump,"ec,ec-d,ss",Distribution Pumps,,1010,,text,Duty Arrangement,Duty arrangement (single / duty-standby / duty-assist).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,pumpVSD,pump,"ec,ec-d,ss",Distribution Pumps,,1020,,passfail,Variable Speed,Is the pump inverter / VSD controlled?,HNES eligible measure: pumping controls.,,true,false,false,false,true,false,1,,,,,,,,,
survey,pumpControlMode,pump,"ec,ec-d,ss",Distribution Pumps,,1030,,text,Control Mode,Control mode (fixed speed / constant DP / proportional DP / temperature).,,,false,false,false,false,true,false,1,,,'{{pumpVSD}}'=='OK',,,,,,
survey,pumpDpTestPoints,pump,"ec,ec-d,ss",Distribution Pumps,,1040,,passfail,DP Test Points,Are binder test points available to measure pump differential pressure?,,,true,false,false,false,true,false,1,,,,,,,,,
survey,pumpDp,pump,"ec,ec-d,ss",Distribution Pumps,,1050,,number,Differential Pressure,Measure the differential pressure across the pump.,HNTAS key failure: pump DP not appropriate.,kPa,false,false,false,false,true,false,2,DP reading,,'{{pumpDpTestPoints}}'=='OK',,,,,,
survey,pumpGlands,pump,"ec,ec-d,ss",Distribution Pumps,,1060,,passfail,Glands and Seals,Any weeping glands or seal leaks?,Record OK when dry.,,true,false,false,false,true,false,1,,,,,,,,,
survey,pumpExercised,pump,"ec,ec-d,ss",Distribution Pumps,,1070,,passfail,Standby Rotation,Are standby pumps exercised / rotated per maintenance schedule?,HNTAS key failure: ancillary equipment not exercised.,,false,false,false,false,true,false,1,,,,,,,,,
survey,pumpCondition,pump,"ec,ec-d,ss",Distribution Pumps,,1080,,passfail,Condition,Overall pump condition (bearings / corrosion / mounts).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,pressMakeModel,pressurisation,"ec,ec-p,ss",Pressurisation,,1100,,text,Make and Model,Record the pressurisation unit make and model.,,,true,false,false,false,true,false,2,Pressurisation data badge,,,,,,,,
survey,pressColdFill,pressurisation,"ec,ec-p,ss",Pressurisation,,1110,,number,Cold Fill Pressure,Cold fill pressure setting.,,bar,true,false,false,false,true,false,1,,,,,,,,,
survey,pressOperating,pressurisation,"ec,ec-p,ss",Pressurisation,,1120,,number,Operating Pressure,Observed system operating pressure.,,bar,true,false,false,false,true,false,1,Pressure gauge,,,,,,,,
survey,pressVesselSize,pressurisation,"ec,ec-p,ss",Pressurisation,,1130,,number,Expansion Vessel Size,Expansion vessel total volume.,,l,false,false,false,false,true,false,1,,,,,,,,,
survey,pressVesselPrecharge,pressurisation,"ec,ec-p,ss",Pressurisation,,1140,,number,Vessel Pre-charge,Expansion vessel pre-charge pressure where measurable.,,bar,false,false,false,false,true,false,1,,,,,,,,,
survey,pressCondition,pressurisation,"ec,ec-p,ss",Pressurisation,,1150,,passfail,Condition,Is the pressurisation unit operating correctly (no lockouts / correct pressures)?,HNTAS key failure: pressurisation unit not operating correctly.,,true,false,false,false,true,false,1,,,,,,,,,
survey,pressAlarms,pressurisation,"ec,ec-p,ss",Pressurisation,,1160,,passfail,Alarms,Are low/high pressure alarms configured and reporting?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,bufferVolume,buffer,ec,Buffer Vessel,,1200,,number,Volume,Buffer / thermal store volume (badge or documentation).,,l,true,false,false,false,true,false,1,Buffer data badge,,,,,,,,
survey,bufferInsulation,buffer,ec,Buffer Vessel,,1210,,passfail,Insulation,Is the vessel fully insulated including connections?,,,true,false,false,false,true,false,1,Buffer insulation,,,,,,,,
survey,bufferConfig,buffer,ec,Buffer Vessel,,1220,,text,Hydraulic Configuration,How is the buffer connected (2-pipe / 4-pipe / series / parallel)?,HNES eligible measure: thermal storage hydraulic reconfiguration.,,false,false,false,false,true,false,1,,,,,,,,,
survey,bufferSensors,buffer,ec,Buffer Vessel,,1230,,passfail,Temperature Sensors,Are store temperature sensors fitted and reporting?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,bufferCondition,buffer,ec,Buffer Vessel,,1240,,passfail,Condition,Overall condition (corrosion / supports / relief valve).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,hmLocation,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1300,,text,Meter Location,Which monitoring point does this meter serve? (e.g. EC boundary / SS intake / SS offtake / CC intake),HNTAS monitoring points: EC1-EC8 / SS1-SS7 / DD1-DD3 / CC1.,,true,false,false,false,true,false,1,,,,,,,,,
survey,hmMakeModel,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1310,,text,Make and Model,Record the meter make and model.,,,true,false,false,false,true,false,1,Meter data badge,,,,,,,,
survey,hmSerial,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1320,,text,Serial Number,Meter serial number.,,,true,false,false,false,true,false,1,Meter serial,,,,,,,,
survey,hmClass,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1330,,text,Accuracy Class,Meter accuracy class (from badge e.g. Class 2).,,,false,false,false,false,true,false,1,,,,,,,,,
survey,hmEnergyRead,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1340,,number,Energy Reading,Record the cumulative energy reading.,,kWh,true,false,false,false,true,false,1,Meter reading,,,,,,,,
survey,hmVolumeRead,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1350,,number,Volume Reading,Record the cumulative volume reading.,,m3,false,false,false,false,true,false,1,,,,,,,,,
survey,hmFlowTemp,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1360,,number,Flow Temperature,Instantaneous flow temperature at the meter.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,hmReturnTemp,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1370,,number,Return Temperature,Instantaneous return temperature at the meter.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,hmFlowRate,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1380,,number,Flow Rate,Instantaneous flow rate at the meter.,,m3/h,false,false,false,false,true,false,1,,,,,,,,,
survey,hmErrorCodes,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1390,,passfail,Error Codes,Is the meter free of error codes?,HNTAS key failure: monitoring point faults not rectified.,,true,false,false,false,true,false,1,Error display,,,,,,,,
survey,hmRemoteReads,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1400,,passfail,Remote Reading,Is the meter connected to remote monitoring (ARMS / M-Bus / wireless)?,HNTAS: 5-30 minute read frequencies require remote reads.,,true,false,false,false,true,false,1,,,,,,,,,
survey,hmCalibration,heat_meter,"ec,ss,dd,cd,cc",Heat Meter,,1410,,passfail,Calibration,Is the meter within its calibration / recalibration period?,HNTAS M4.2.4 recalibration requirement.,,false,false,false,false,true,false,1,,,,,,,,,
survey,phxMakeModel,plate_hx,"ec,ss",Plate Heat Exchanger,,1500,,text,Make and Model,Record the PHX make and model.,,,true,false,false,false,true,false,1,PHX data badge,,,,,,,,
survey,phxDuty,plate_hx,"ec,ss",Plate Heat Exchanger,,1510,,number,Rated Duty,Rated duty of the heat exchanger.,,kW,true,false,false,false,true,false,1,,,,,,,,,
survey,phxPrimaryFlow,plate_hx,"ec,ss",Plate Heat Exchanger,,1520,,number,Primary Flow Temp,Primary side flow temperature in operation.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,phxPrimaryReturn,plate_hx,"ec,ss",Plate Heat Exchanger,,1530,,number,Primary Return Temp,Primary side return temperature in operation.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,phxSecondaryFlow,plate_hx,"ec,ss",Plate Heat Exchanger,,1540,,number,Secondary Flow Temp,Secondary side flow temperature in operation.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,phxSecondaryReturn,plate_hx,"ec,ss",Plate Heat Exchanger,,1550,,number,Secondary Return Temp,Secondary side return temperature in operation.,,°C,false,false,false,false,true,false,1,,,,,,,,,
survey,phxApproach,plate_hx,"ec,ss",Plate Heat Exchanger,,1560,,number,Approach Temperature,Approach (primary return minus secondary return).,High approach indicates fouling.,K,false,false,false,false,true,false,1,,,,,,,,,
survey,phxInsulated,plate_hx,"ec,ss",Plate Heat Exchanger,,1570,,passfail,Insulation,Is the exchanger insulated / jacketed?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,phxCondition,plate_hx,"ec,ss",Plate Heat Exchanger,,1580,,passfail,Condition,Overall condition (gaskets / corrosion / supports).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,ssIntakeMeter,node,ss,SS — Substation,,1600,,passfail,Intake Heat Meter (SS1),Is a heat meter installed on the substation INTAKE boundary?,HNTAS SS1: intake metering is required.,,true,false,false,false,true,false,2,Intake meter,,,,,,,,
survey,ssOfftakeMeter,node,ss,SS — Substation,,1610,,passfail,Offtake Heat Meter (SS2),Is a heat meter installed on the substation OFFTAKE boundary?,HNTAS SS2: offtake metering is required.,,true,false,false,false,true,false,2,Offtake meter,,,,,,,,
survey,ssPumpMeter,node,ss,SS — Substation,,1620,,passfail,Pump Energy Meter (SS3),Is substation pump energy metered per pump set?,HNTAS SS3 monitoring point.,,false,false,false,false,true,false,1,,,,,,,,,
survey,ssTopUpMeter,node,ss,SS — Substation,,1630,,passfail,Top-up Water Meter (SS4),Is a water meter installed on the substation top-up line?,HNTAS SS4 monitoring point.,,true,false,false,false,true,false,1,,,,,,,,,
survey,ssDpPoints,node,ss,SS — Substation,,1640,,passfail,DP Measurement Points (SS5/SS6),Are defined differential pressure measurement points installed?,HNTAS SS5/SS6 monitoring points.,,true,false,false,false,true,false,1,,,,,,,,,
survey,ssDpReading,node,ss,SS — Substation,,1650,,number,DP Reading,Measure differential pressure at the defined point.,,kPa,false,false,false,false,true,false,2,DP reading,,'{{ssDpPoints}}'=='OK',,,,,,
survey,ssOperatingPressure,node,ss,SS — Substation,,1660,,number,Operating Pressure (SS7),Record the substation operating pressure.,HNTAS SS7 monitoring point.,bar,false,false,false,false,true,false,1,Pressure gauge,,,,,,,,
survey,ddRouteCondition,node,"dd,cd,cd-r",DD — Distribution,,1700,,passfail,Route Condition,Condition of the distribution route surveyed (corrosion / supports / movement).,,,false,false,false,false,true,false,2,Distribution route,,,,,,,,
survey,ddBypasses,node,"dd,cd,cd-r",DD — Distribution,,1710,,passfail,Bypasses,Are any bypasses present? Note locations and whether justified/documented.,HNTAS key failure: unjustified bypasses. Record OK when none or all justified.,,true,false,false,false,true,false,2,Bypass,,,,,,,,
survey,ddAccessChambers,node,"dd,cd,cd-r",DD — Distribution,,1720,,passfail,Access Chambers,Are buried access chambers dry and accessible (not flooded)?,HNTAS key failure: access chambers below standard.,,false,false,false,false,true,false,2,Access chamber,,,,,,,,
survey,ddLeakDetection,node,"dd,cd,cd-r",DD — Distribution,,1730,,passfail,Leak Detection,Is a leak detection / surveillance system installed and functional?,HNTAS key failure: surveillance system not functional.,,false,false,false,false,true,false,1,,,,,,,,,
survey,ddPipeSizes,node,"dd,cd,cd-r",DD — Distribution,,1740,,textarea,Pipe Sizes,Record main distribution pipe sizes observed (DN per section).,,,false,false,false,false,true,false,2,,,,,,,,,
survey,ddInsulationRoute,node,"dd,cd,cd-r",DD — Distribution,,1750,,passfail,Route Insulation,Is distribution pipework insulation continuous along the surveyed route?,,,false,false,false,false,true,false,2,Route insulation,,,,,,,,
survey,wqSampleTaken,node,"ec,ss",Water Quality,,1800,,passfail,Sample Taken,Has a water sample been taken for analysis?,HNTAS key failure: water quality sampling not carried out.,,false,false,false,false,true,false,2,Sample bottle,,,,,,,,
survey,wqInhibitor,node,"ec,ss",Water Quality,,1810,,passfail,Inhibitor Dosing,Is inhibitor dosing equipment present and in service?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,wqSideStream,node,"ec,ss",Water Quality,,1820,,passfail,Side-stream Filtration,Is side-stream filtration (or dirt/air separation) installed?,,,false,false,false,false,true,false,1,,,,,,,,,
survey,wqLastReport,node,"ec,ss",Water Quality,,1830,,text,Last Analysis Report,Date of last water quality analysis report where available.,,,false,false,false,false,true,false,1,Water quality report,,,,,,,,
survey,ctrlBMS,node,"ec,ss",Controls & Monitoring,,1900,,text,Control System,What control system operates this element (BMS make / standalone controllers)?,,,false,false,false,false,true,false,1,Controls,,,,,,{},{},
survey,ctrlSetpointsDoc,node,"ec,ss",Controls & Monitoring,,1910,,passfail,Setpoints Recorded,Are current control setpoints recorded and consistent with the DoO?,HNTAS key failure: unjustified control adjustments.,,false,false,false,false,true,false,2,,,,,,,{},{},
